docId,competitionId,date,lockAt,meeting,name,placesPaid,eachWayFraction,offTime,order,raceId,runners,updatedAt
2026-03-01_chelt_16:40,pre_cheltenham_test,01/03/2026,2026-03-01T13:19:00Z,chelt,Day 2 Handicap Race 6,3,0.2,2026-03-01T16:40:00Z,6,2026-03-01_chelt_16:40,"[""impose_toi"",""staffordshire_knot"",""gowel_road"",""ace_of_spades"",""electric_mason"",""minella_sixo"",""millstream_lady"",""absolutely_doyen"",""kikijo"",""supremely_west""]",2026-02-27T09:00:00Z
2026-03-01_chelt_17:20,pre_cheltenham_test,01/03/2026,2026-03-01T13:19:00Z,chelt,Day 2 Handicap Race 7,4,0.2,2026-03-01T17:20:00Z,7,2026-03-01_chelt_17:20,"[""jeriko_du_reponet"",""search_for_glory"",""stolen_silver"",""henry's_friend"",""hyland"",""american_mike"",""chemical_energy"",""monbeg_genius"",""booster_bob"",""deep_cave""]",2026-02-27T09:00:00Z
2026-03-02_chelt_13:20,pre_cheltenham_test,02/03/2026,2026-03-02T13:19:00Z,chelt,Day 3 Handicap Race 1,3,0.2,2026-03-02T13:20:00Z,1,2026-03-02_chelt_13:20,"[""a_path_to_ronda"",""al_fonce"",""amen_kate"",""anariza"",""azahara_palace"",""bambino_fever"",""belle_montrose"",""blue_velvet"",""carrigmoornaspruce"",""carry_on_heidi""]",2026-02-27T09:00:00Z
2026-03-02_chelt_14:00,pre_cheltenham_test,02/03/2026,2026-03-02T13:19:00Z,chelt,Day 3 Handicap Race 2,4,0.2,2026-03-02T14:00:00Z,2,2026-03-02_chelt_14:00,"[""jacob's_ladder"",""gold_dancer"",""koktail_divin"",""sixmilebridge"",""no_questions_asked"",""joystick"",""wendigo"",""slade_steel"",""downmexicoway"",""ol_man_dingle""]",2026-02-27T09:00:00Z
2026-03-02_chelt_14:40,pre_cheltenham_test,02/03/2026,2026-03-02T13:19:00Z,chelt,Day 3 Handicap Race 3,3,0.2,2026-03-02T14:20:00Z,3,2026-03-02_chelt_14:40,"[""baby_kate"",""brighterdaysahead"",""dream_on_baby"",""feet_of_a_dancer"",""golden_ace"",""jade_de_grugy"",""jetara"",""kargese"",""kateira"",""la_pinsonniere""]",2026-02-27T09:00:00Z
2026-03-02_chelt_15:20,pre_cheltenham_test,02/03/2026,2026-03-02T13:19:00Z,chelt,Day 3 Handicap Race 4,3,0.2,2026-03-02T15:20:00Z,4,2026-03-02_chelt_15:20,"[""ahoy_senor"",""ballyburn"",""bob_olinger"",""buddy_one"",""doddiethegreat"",""feet_of_a_dancer"",""flooring_porter"",""franciscan_rock"",""french_ship"",""gowel_road""]",2026-02-27T09:00:00Z
2026-03-02_chelt_16:00,pre_cheltenham_test,02/03/2026,2026-03-02T13:19:00Z,chelt,Day 3 Handicap Race 5,4,0.2,2026-03-02T16:00:00Z,5,2026-03-02_chelt_16:00,"[""banbridge"",""better_days_ahead"",""champ_kiely"",""croke_park"",""edwardstone"",""energumene"",""envoi_allen"",""fact_to_file"",""firefox"",""found_a_fifty""]",2026-02-27T09:00:00Z
2026-03-02_chelt_16:40,pre_cheltenham_test,02/03/2026,2026-03-02T13:19:00Z,chelt,Day 3 Handicap Race 6,3,0.2,2026-03-02T16:40:00Z,6,2026-03-02_chelt_16:40,"[""impose_toi"",""staffordshire_knot"",""gowel_road"",""ace_of_spades"",""electric_mason"",""minella_sixo"",""millstream_lady"",""absolutely_doyen"",""kikijo"",""supremely_west""]",2026-02-27T09:00:00Z
2026-03-02_chelt_17:20,pre_cheltenham_test,02/03/2026,2026-03-02T13:19:00Z,chelt,Day 3 Handicap Race 7,4,0.2,2026-03-02T17:20:00Z,7,2026-03-02_chelt_17:20,"[""jeriko_du_reponet"",""search_for_glory"",""stolen_silver"",""henry's_friend"",""hyland"",""american_mike"",""chemical_energy"",""monbeg_genius"",""booster_bob"",""deep_cave""]",2026-02-27T09:00:00Z
2026-03-03_chelt_13:20,pre_cheltenham_test,03/03/2026,2026-03-03T13:19:00Z,chelt,Day 4 Handicap Race 1,3,0.2,2026-03-03T13:20:00Z,1,2026-03-03_chelt_13:20,"[""adrienne"",""ammes"",""apolon_de_charnie"",""arouet"",""barbizon"",""bartholomew"",""beauvallon"",""ben_hur"",""berto_ramirez"",""bertutea""]",2026-02-27T09:00:00Z
2026-03-03_chelt_14:00,pre_cheltenham_test,03/03/2026,2026-03-03T13:19:00Z,chelt,Day 4 Handicap Race 2,4,0.2,2026-03-03T14:00:00Z,2,2026-03-03_chelt_14:00,"[""anzadam"",""ndaawi"",""absurde"",""bowensonfire"",""storm_heart"",""tutti_quanti"",""karbau"",""farren_glory"",""hello_neighbour"",""workahead""]",2026-02-27T09:00:00Z
2026-03-03_chelt_14:40,pre_cheltenham_test,03/03/2026,2026-03-03T13:19:00Z,chelt,Day 4 Handicap Race 3,3,0.2,2026-03-03T14:20:00Z,3,2026-03-03_chelt_14:40,"[""spindleberry"",""bioluminescence"",""dinoblue"",""july_flower"",""kala_conti"",""only_by_night"",""the_big_westerner"",""all_the_glory"",""break_my_soul"",""diva_luna""]",2026-02-27T09:00:00Z
2026-03-03_chelt_15:20,pre_cheltenham_test,03/03/2026,2026-03-03T13:19:00Z,chelt,Day 4 Handicap Race 4,3,0.2,2026-03-03T15:20:00Z,4,2026-03-03_chelt_15:20,"[""a_pai_de_nom"",""american_jukebox"",""apache_tribe"",""bally_free"",""ballykinlar"",""boultydoolin"",""champagne_kid"",""classical_creek"",""dalston_lad"",""doctor_du_mesnil""]",2026-02-27T09:00:00Z
2026-03-03_chelt_16:00,pre_cheltenham_test,03/03/2026,2026-03-03T13:19:00Z,chelt,Day 4 Handicap Race 5,4,0.2,2026-03-03T16:00:00Z,5,2026-03-03_chelt_16:00,"[""affordale_fury"",""banbridge"",""envoi_allen"",""fastorslow"",""firefox"",""gaelic_warrior"",""galopin_des_champs"",""gold_tweet"",""grangeclare_west"",""grey_dawning""]",2026-02-27T09:00:00Z
2026-03-03_chelt_16:40,pre_cheltenham_test,03/03/2026,2026-03-03T13:19:00Z,chelt,Day 4 Handicap Race 6,3,0.2,2026-03-03T16:40:00Z,6,2026-03-03_chelt_16:40,"[""asphalt_cowboy"",""barton_snow"",""carnfunnock"",""chemical_energy"",""con's_roc"",""d'jango"",""fairly_famous"",""golden_son"",""gracchus_de_balme"",""haven't_time""]",2026-02-27T09:00:00Z
2026-03-03_chelt_17:20,pre_cheltenham_test,03/03/2026,2026-03-03T13:19:00Z,chelt,Day 4 Handicap Race 7,4,0.2,2026-03-03T17:20:00Z,7,2026-03-03_chelt_17:20,"[""the_passing_wife"",""murcia"",""chart_topper"",""its_bilbo"",""kateira"",""sony_bill"",""give_it_to_me_oj"",""nurse_susan"",""timeless_treaty"",""air_of_entitlement""]",2026-02-27T09:00:00Z
